date,station,boarding,alighting,total,day_of_week,is_weekend,is_holiday,month,year,covid_dummy
2018-02-27,신도림,65581.0,65682.0,131263.0,1,0,0,2,2018,0
2018-02-27,홍대입구,84297.0,88552.0,172849.0,1,0,0,2,2018,0
2018-02-28,강남,125141.0,127789.0,252930.0,2,0,0,2,2018,0
2018-02-28,홍대입구,80096.0,89844.0,169940.0,2,0,0,2,2018,0
2018-02-28,잠실,105817.0,99064.0,204881.0,2,0,0,2,2018,0
2018-02-28,신도림,66687.0,65096.0,131783.0,2,0,0,2,2018,0
2018-03-01,강남,66546.0,65069.0,131615.0,3,0,1,3,2018,0
2018-03-01,신도림,42606.0,43200.0,85806.0,3,0,1,3,2018,0
2018-03-01,홍대입구,84857.0,87299.0,172156.0,3,0,1,3,2018,0
2018-03-01,잠실,76246.0,70515.0,146761.0,3,0,1,3,2018,0
2018-03-02,강남,110446.0,113555.0,224001.0,4,0,0,3,2018,0
2018-03-02,홍대입구,85015.0,95986.0,181001.0,4,0,0,3,2018,0
2018-03-02,잠실,92156.0,86923.0,179079.0,4,0,0,3,2018,0
2018-03-02,신도림,63865.0,63548.0,127413.0,4,0,0,3,2018,0
2018-03-03,강남,89784.0,94771.0,184555.0,5,1,0,3,2018,0
2018-03-03,홍대입구,98978.0,112640.0,211618.0,5,1,0,3,2018,0
2018-03-03,신도림,59834.0,60640.0,120474.0,5,1,0,3,2018,0
2018-03-03,잠실,88237.0,82278.0,170515.0,5,1,0,3,2018,0
2018-03-04,신도림,38577.0,38746.0,77323.0,6,1,0,3,2018,0
2018-03-04,강남,53289.0,51204.0,104493.0,6,1,0,3,2018,0
2018-03-04,잠실,59234.0,54822.0,114056.0,6,1,0,3,2018,0
2018-03-04,홍대입구,71354.0,66056.0,137410.0,6,1,0,3,2018,0
2018-03-05,홍대입구,73199.0,75120.0,148319.0,0,0,0,3,2018,0
2018-03-05,잠실,84057.0,79850.0,163907.0,0,0,0,3,2018,0
2018-03-05,강남,110920.0,112613.0,223533.0,0,0,0,3,2018,0
2018-03-05,신도림,63589.0,62571.0,126160.0,0,0,0,3,2018,0
2018-03-06,잠실,91156.0,86681.0,177837.0,1,0,0,3,2018,0
2018-03-06,신도림,65951.0,65260.0,131211.0,1,0,0,3,2018,0
2018-03-06,강남,115182.0,114554.0,229736.0,1,0,0,3,2018,0
2018-03-06,홍대입구,76293.0,78877.0,155170.0,1,0,0,3,2018,0
2018-03-07,잠실,90265.0,86190.0,176455.0,2,0,0,3,2018,0
2018-03-07,강남,116630.0,114995.0,231625.0,2,0,0,3,2018,0
2018-03-07,홍대입구,77876.0,80564.0,158440.0,2,0,0,3,2018,0
2018-03-07,신도림,65723.0,65131.0,130854.0,2,0,0,3,2018,0
2018-03-08,신도림,65900.0,65507.0,131407.0,3,0,0,3,2018,0
2018-03-08,홍대입구,77996.0,82282.0,160278.0,3,0,0,3,2018,0
2018-03-08,강남,113950.0,114154.0,228104.0,3,0,0,3,2018,0
2018-03-08,잠실,89479.0,85876.0,175355.0,3,0,0,3,2018,0
2018-03-09,홍대입구,87858.0,101437.0,189295.0,4,0,0,3,2018,0
2018-03-09,신도림,70278.0,70035.0,140313.0,4,0,0,3,2018,0
2018-03-09,잠실,98632.0,94186.0,192818.0,4,0,0,3,2018,0
2018-03-09,강남,126365.0,130464.0,256829.0,4,0,0,3,2018,0
2018-03-10,홍대입구,105249.0,121232.0,226481.0,5,1,0,3,2018,0
2018-03-10,강남,100388.0,105656.0,206044.0,5,1,0,3,2018,0
2018-03-10,신도림,64733.0,65889.0,130622.0,5,1,0,3,2018,0
2018-03-10,잠실,93876.0,86768.0,180644.0,5,1,0,3,2018,0
2018-03-11,신도림,45362.0,45189.0,90551.0,6,1,0,3,2018,0
2018-03-11,홍대입구,82893.0,79058.0,161951.0,6,1,0,3,2018,0
2018-03-11,강남,60954.0,59053.0,120007.0,6,1,0,3,2018,0
2018-03-11,잠실,67588.0,61391.0,128979.0,6,1,0,3,2018,0
2018-03-12,잠실,89371.0,85892.0,175263.0,0,0,0,3,2018,0
2018-03-12,강남,112939.0,113166.0,226105.0,0,0,0,3,2018,0
2018-03-12,홍대입구,75001.0,77109.0,152110.0,0,0,0,3,2018,0
2018-03-12,신도림,65278.0,63982.0,129260.0,0,0,0,3,2018,0
2018-03-13,신도림,66917.0,67267.0,134184.0,1,0,0,3,2018,0
2018-03-13,강남,115078.0,114780.0,229858.0,1,0,0,3,2018,0
2018-03-13,홍대입구,77743.0,81137.0,158880.0,1,0,0,3,2018,0
2018-03-13,잠실,91530.0,87704.0,179234.0,1,0,0,3,2018,0
2018-03-14,강남,117167.0,117285.0,234452.0,2,0,0,3,2018,0
2018-03-14,잠실,95144.0,90958.0,186102.0,2,0,0,3,2018,0
2018-03-14,신도림,70198.0,69986.0,140184.0,2,0,0,3,2018,0
2018-03-14,홍대입구,81037.0,85371.0,166408.0,2,0,0,3,2018,0
2018-03-15,강남,112210.0,112838.0,225048.0,3,0,0,3,2018,0
2018-03-15,잠실,87245.0,84043.0,171288.0,3,0,0,3,2018,0
2018-03-15,홍대입구,74399.0,78656.0,153055.0,3,0,0,3,2018,0
2018-03-15,신도림,64301.0,63710.0,128011.0,3,0,0,3,2018,0
2018-03-16,강남,127166.0,131061.0,258227.0,4,0,0,3,2018,0
2018-03-16,잠실,100359.0,95611.0,195970.0,4,0,0,3,2018,0
2018-03-16,신도림,70893.0,71338.0,142231.0,4,0,0,3,2018,0
2018-03-16,홍대입구,90457.0,104606.0,195063.0,4,0,0,3,2018,0
2018-03-17,홍대입구,108915.0,124113.0,233028.0,5,1,0,3,2018,0
2018-03-17,신도림,66273.0,67877.0,134150.0,5,1,0,3,2018,0
2018-03-17,강남,98312.0,103731.0,202043.0,5,1,0,3,2018,0
2018-03-17,잠실,98290.0,91323.0,189613.0,5,1,0,3,2018,0
2018-03-18,홍대입구,79290.0,73926.0,153216.0,6,1,0,3,2018,0
2018-03-18,신도림,43149.0,43271.0,86420.0,6,1,0,3,2018,0
2018-03-18,잠실,71538.0,66184.0,137722.0,6,1,0,3,2018,0
2018-03-18,강남,58447.0,57493.0,115940.0,6,1,0,3,2018,0
2018-03-19,잠실,86184.0,82553.0,168737.0,0,0,0,3,2018,0
2018-03-19,강남,108582.0,109342.0,217924.0,0,0,0,3,2018,0
2018-03-19,신도림,62348.0,60818.0,123166.0,0,0,0,3,2018,0
2018-03-19,홍대입구,72734.0,74304.0,147038.0,0,0,0,3,2018,0
2018-03-20,잠실,90664.0,86572.0,177236.0,1,0,0,3,2018,0
2018-03-20,신도림,66507.0,65131.0,131638.0,1,0,0,3,2018,0
2018-03-20,홍대입구,76377.0,78747.0,155124.0,1,0,0,3,2018,0
2018-03-20,강남,114042.0,113348.0,227390.0,1,0,0,3,2018,0
2018-03-21,잠실,88005.0,83546.0,171551.0,2,0,0,3,2018,0
2018-03-21,홍대입구,74290.0,77593.0,151883.0,2,0,0,3,2018,0
2018-03-21,강남,112412.0,111307.0,223719.0,2,0,0,3,2018,0
2018-03-21,신도림,65463.0,64626.0,130089.0,2,0,0,3,2018,0
2018-03-22,강남,116410.0,116245.0,232655.0,3,0,0,3,2018,0
2018-03-22,홍대입구,79216.0,83944.0,163160.0,3,0,0,3,2018,0
2018-03-22,신도림,67455.0,66656.0,134111.0,3,0,0,3,2018,0
2018-03-22,잠실,91857.0,88224.0,180081.0,3,0,0,3,2018,0
2018-03-23,강남,127886.0,132082.0,259968.0,4,0,0,3,2018,0
2018-03-23,홍대입구,91292.0,105476.0,196768.0,4,0,0,3,2018,0
2018-03-23,잠실,100594.0,95437.0,196031.0,4,0,0,3,2018,0
2018-03-23,신도림,70136.0,69839.0,139975.0,4,0,0,3,2018,0
2018-03-24,잠실,94700.0,88442.0,183142.0,5,1,0,3,2018,0
2018-03-24,강남,99722.0,104372.0,204094.0,5,1,0,3,2018,0
2018-03-24,홍대입구,106742.0,121186.0,227928.0,5,1,0,3,2018,0
2018-03-24,신도림,64703.0,65852.0,130555.0,5,1,0,3,2018,0
2018-03-25,홍대입구,79696.0,76693.0,156389.0,6,1,0,3,2018,0
2018-03-25,강남,59886.0,59368.0,119254.0,6,1,0,3,2018,0
2018-03-25,잠실,70249.0,63016.0,133265.0,6,1,0,3,2018,0
2018-03-25,신도림,44669.0,44204.0,88873.0,6,1,0,3,2018,0
2018-03-26,홍대입구,74386.0,76193.0,150579.0,0,0,0,3,2018,0
2018-03-26,신도림,63363.0,62298.0,125661.0,0,0,0,3,2018,0
2018-03-26,잠실,86791.0,83285.0,170076.0,0,0,0,3,2018,0
2018-03-26,강남,109975.0,110358.0,220333.0,0,0,0,3,2018,0
2018-03-27,신도림,66201.0,65480.0,131681.0,1,0,0,3,2018,0
2018-03-27,잠실,91541.0,87966.0,179507.0,1,0,0,3,2018,0
2018-03-27,강남,113526.0,113326.0,226852.0,1,0,0,3,2018,0
2018-03-27,홍대입구,76661.0,79365.0,156026.0,1,0,0,3,2018,0
2018-03-28,강남,115045.0,114952.0,229997.0,2,0,0,3,2018,0
2018-03-28,잠실,92205.0,88698.0,180903.0,2,0,0,3,2018,0
2018-03-28,홍대입구,79554.0,83341.0,162895.0,2,0,0,3,2018,0
2018-03-28,신도림,68108.0,67484.0,135592.0,2,0,0,3,2018,0
2018-03-29,잠실,93412.0,89061.0,182473.0,3,0,0,3,2018,0
2018-03-29,강남,115277.0,115856.0,231133.0,3,0,0,3,2018,0
2018-03-29,신도림,66364.0,65672.0,132036.0,3,0,0,3,2018,0
